FIRING_HEADER_ROW	Time Cue Number	Ignition Event Time	Number Of Devices	Duration	Coordinates	Chain Identifier	Lockout Identifier	Device Delay	Prefire Delay	Effect Name	Caliber	Category	Angles	Position Name	Animation Description	Module Description	Module Address	Slat Address	Pin Address	Firing Notes	Product ID	Manufacturer Product ID	Animation ID	Location Primary	Location Secondary	Price Per Device	Mortar Caliber	Track Identifier
FIRING_DATA_ROW		16.191	1	19.77	-7.5 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-13	Fountain Gold	pyrodigital_fm_30fps	$0A		$1		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	-5.0 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-14	Fountain Gold	pyrodigital_fm_30fps	$0B		$0		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	-2.5 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-15	Fountain Gold	pyrodigital_fm_30fps	$0C		$0		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	0.0 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-16	Fountain Gold	pyrodigital_fm_30fps	$0D		$0		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	2.5 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-17	Fountain Gold	pyrodigital_fm_30fps	$0E		$0		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	5.0 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-18	Fountain Gold	pyrodigital_fm_30fps	$0F		$0		51B03008					119.0		
FIRING_DATA_ROW		16.191	1	19.77	7.5 0.0 -12.0			0.0	0.3	Fountain Gold 4m 20s	3"	Other		P-19	Fountain Gold	pyrodigital_fm_30fps	$10		$1		51B03008					119.0		
FIRING_DATA_ROW		16.391	1	2.11	-10.0 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-02	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$01		$7		200221					175.0		
FIRING_DATA_ROW		16.599	1	2.11	-7.5 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-03	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$02		$5		200221					175.0		
FIRING_DATA_ROW		16.699	0	0.0				0.0	0.0			Other																
FIRING_DATA_ROW		17.001	1	2.11	-5.0 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-04	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$03		$6		200221					175.0		
FIRING_DATA_ROW		17.479	1	2.11	-2.5 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-05	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$04		$5		200221					175.0		
FIRING_DATA_ROW		17.958	1	2.11	0.0 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-06	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$05		$9		200221					175.0		
FIRING_DATA_ROW		18.182	1	2.11	2.5 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-07	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$06		$5		200221					175.0		
FIRING_DATA_ROW		18.614	1	2.11	5.0 0.0 -4.0			0.0	0.1	45 mm Comet Fuchsia w/ Tail	50mm	Candles		P-08	2.11s Comet Fuchsia w/ Tail	pyrodigital_fm_30fps	$07		$6		200221					175.0		
